"Aggression"	"Television"	"Video_Games"	"Sibling_Aggression"	"Diet"	"Parenting_Style"
"1"	2.37416043064046	2.17267053604197	2.1419066863122	1.67178363020079	1.88969715147043	4.72096608734162
"2"	2.7711534016966	1.96712815757178	2.70991822158973	2.57683666658489	1.97700970056364	3.75183345618065
"3"	1.90227242324705	1.92553979450528	1.60985944363829	1.78281594820987	2.28030050073384	4.67193702552886
"4"	2.01593530831723	1.99557336856974	1.59191964042167	2.04622325447524	1.73652077230646	3.99488069221645
"5"	1.72461540987239	1.32476131013697	1.72222219490754	1.10895462307334	2.22658139146375	5.48947781609902
"6"	2.15785329860279	2.20248013508831	2.3215082906082	1.84628737986254	1.63136181455032	3.25901771683521
"7"	2.126216995343	2.18666420145742	2.30626593228124	2.51178221493039	1.33903394648719	5.09229437892248
"8"	2.00593043640033	2.05004365965187	1.89508175494542	2.11305375226211	2.00315417012425	4.78212611019324
"9"	1.7944126601959	1.56951996968026	2.00230351147431	2.23494285505974	2.38701775839414	5.11290539128183
"10"	1.66988863323434	1.67961113155479	1.32164111930109	1.91432471301101	1.58624213659787	3.20520331313644
"11"	2.32658350986801	1.95458242714876	1.33664491042163	2.16288549150649	1.69764268097129	4.62405750803013
"12"	1.49278892320613	1.67514494740381	2.05928496358971	2.48017646276682	1.89468711996036	3.5750735487273
"13"	1.62930975838658	2.36546821181167	2.0862239651039	2.15428171365706	2.27453177210572	5.42744108645753
"14"	2.07670733811184	2.20814807121453	1.93995262069242	2.28475766798535	2.04757127219718	5.21680180930473
"15"	1.52773038906025	1.77191450625331	1.9732428494863	1.59170512906196	1.72644988782773	3.25298485274029
"16"	2.14311723241647	1.99639220429795	2.0068914356993	2.16255943006253	1.9209523609145	5.4106990419958
"17"	1.91461224522814	1.93064061305408	2.03906655570405	2.00351665369345	2.17390353646672	5.01883278312942
"18"	1.82555671965364	1.37429461545614	1.94879830755804	1.51192667186439	2.66417093541736	5.17066566884865
"19"	2.03781777284713	1.66906572030553	1.42516485736408	1.65382147536196	1.74772318614438	4.43376911121231
"20"	2.29069501081848	2.31608556486395	2.20504648109165	1.93553455143779	2.38526009684342	7.28142777850715
"21"	1.85677200188261	1.99599151641841	2.36264330865513	1.95960776502597	1.13852401470578	6.59329493999608
"22"	1.97588628420724	1.93908723496104	1.83642566534358	1.78435896891835	2.5883571823613	4.6430902685805
"23"	1.73504723775275	1.40578549369857	2.05518042696413	1.91988703636588	1.25615474908941	3.82481294566101
"24"	2.12628360321226	1.85331450666982	1.6473809520421	1.87495044618752	1.73070307926206	3.74475532749141
"25"	2.07862754754594	1.88314184860743	1.86557341350412	2.11697668833525	1.97439941799095	4.33419890509526
"26"	1.95594964118662	2.12226344386587	2.02883888688649	2.0547118145901	1.99787765353999	4.86057906561733
"27"	1.9070615313454	1.77282106394997	1.98837578444545	2.17429957334198	2.44191242682045	4.3812111247914
"28"	1.96783053495805	1.91294790950867	1.56571849240671	2.00239580386679	2.0612111683368	4.24274248813059
"29"	1.49984031853426	2.40257196608615	1.53514131793973	2.33503389012682	1.77881526726727	4.01599839829335
"30"	1.90811218301385	2.42198427312738	2.4670932937132	2.00916869761798	2.6347815373107	5.65272193897148
"31"	2.08225284382034	2.41665889594153	2.6266883095117	2.78849557118	2.69855307019767	5.55635000991412
"32"	1.91518535827502	1.99291107208564	1.90193082135873	1.90050779155946	1.96962876655346	5.46218651003422
"33"	1.40323555832588	1.72863121663462	1.87647785209888	1.70401902519127	1.68119648874386	4.13720037101042
"34"	1.50371411015264	2.29542087659956	1.64191850292055	1.97407680088429	1.96988598329022	5.64005025826231
"35"	1.63367264361161	2.14615674254834	2.25893822988133	1.95840644938279	2.0567212070251	5.31121193578676
"36"	1.44866306751359	2.42441087769519	1.71187029889908	2.16979630987281	2.0245592139388	5.72227751861321
"37"	2.07004817945641	1.45399574050041	1.51135504049477	1.51964466603775	2.30821809899479	3.12481910543917
"38"	2.21496780477292	1.96587712554011	1.78011927771337	2.00289074853785	1.96769717948588	4.76427412024049
"39"	2.04867622593657	2.36431457002408	2.88943620563088	2.25848232768407	2.6676448577138	5.33612150026764
"40"	1.99747994474667	1.80616573504301	0.84616545205344	2.55715213114572	1.88502283589829	6.41545226548169
"41"	2.07922303985036	2.06464142790752	1.9751375481194	2.03204959788817	1.95757415679042	5.0018039152006
"42"	1.981753686586	2.24567300299536	1.93343667584253	1.22571101057295	1.65651436735754	5.29015700210589
"43"	2.39187457307914	2.21486963843572	1.91209515455783	1.74613086361348	1.96639840139808	6.57357474839708
"44"	2.13226642432305	2.1023528998724	2.24444833641551	2.11477094592619	1.84161366707617	5.5578718384256
"45"	1.06901607511826	1.85304269870493	2.58503832128944	2.14391412333136	2.13415674234434	3.95290394361826
"46"	1.96599329204029	2.21656759270549	2.19941235791049	1.97672463083873	1.81638899344202	4.41296438872049
"47"	2.84376963597373	1.46662812986362	2.62674291439406	2.0061937922036	1.94574690263758	5.23865782225361
"48"	2.00053528687332	1.66074645603378	2.02337474765369	1.24153940252331	1.53116558459209	4.76107251072364
"49"	1.66245860375667	2.10978668462653	1.9903941743655	1.73686998977386	1.95205652923674	5.8368768937775
"50"	2.17532796724064	2.25361422464612	2.61003620129149	2.14017359487445	2.13541662888947	5.33868047096641
"51"	1.86762559186289	1.80006409499082	1.69590426800895	1.31301770039644	2.16316794386819	3.78264507953466
"52"	2.23111180183455	1.99080083572359	1.76544776789427	2.12294156412746	1.42544129702256	4.88289624332041
"53"	2.05586414327523	2.06061464859611	2.00088395098203	2.0155013769202	2.00511006870131	5.18185404121022
"54"	2.1374658035311	1.82759797626095	2.67944235265835	2.64029630714731	2.66441856324333	6.32834139741449
"55"	1.97145132781955	2.09645043384201	2.32205007782769	1.98241264935868	2.06836061411868	4.02991180882287
"56"	1.4194938134133	1.95352428598943	2.08026200522107	2.05323410081941	2.1712804628175	4.88997235411509
"57"	2.03316351748545	1.82884248654068	2.28215119932166	2.28599145286361	2.29819820459256	4.25483893912477
